Country,Name,NumberOfRatings,Price,Rating,Region,Tipology,Winery,Year,_id
Germany,Brauneberger Mandelgraben Pinot Noir 2012,59,34.95,4,Mosel,red,Markus Molitor,2012,60f33d7f00b871aef201f2b9
Italy,Dievole Maestro di Cava 2016,59,59,4.3,Bolgheri Superiore,red,Tenuta Meraviglia,2016,60f33d7f00b871aef201f2ba
France,Pomerol 2016,59,48.76,4.1,Pomerol,red,Château Tour Maillet,2016,60f33d7f00b871aef201f2bb
France,Bois des Dames Corbières 2015,59,13.6,3.6,Corbières,red,Château Etang des Colombes,2015,60f33d7f00b871aef201f2bc
Italy,Per Sé Kalterersee Classico Superiore 2018,59,15.95,3.7,Südtirol - Alto Adige,red,Elena Walch,2018,60f33d7f00b871aef201f2bd
France,Château Montlandrie Castillon - Côtes de Bordeaux 2016,59,24.95,3.9,Castillon - Côtes de Bordeaux,red,Denis Durantou,2016,60f33d7f00b871aef201f2be
Portugal,Porta da Calada Tinto 2017,59,5.9,3.6,Alentejano,red,Herdade da Calada,2017,60f33d7f00b871aef201f2bf
France,"Vignes de Nicole Cabernet Sauvignon - Merlot Pays d'Oc 2017",590,7.19,3.7,"Pays d'Oc",red,Paul Mas,2017,60f33d7f00b871aef201f2c0
Spain,Gran Reserva 2012,591,6.45,3.4,Valdepeñas,red,Señorio de Los Llanos,2012,60f33d7f00b871aef201f2c1
Italy,Solone Primitivo 2017,591,20.89,4.4,Salento,red,Lorusso Michele,2017,60f33d7f00b871aef201f2c2
Spain,Edición Limitada 2016,591,10.38,4,Rioja,red,Ramón Bilbao,2016,60f33d7f00b871aef201f2c3
France,Saint-Émilion Grand Cru (Grand Cru Classé) 2012,592,34.4,4.1,Saint-Émilion Grand Cru,red,Château Fonroque,2012,60f33d7f00b871aef201f2c4
France,Réserve Médoc 2016,593,15.9,3.6,Médoc,red,Mouton Cadet,2016,60f33d7f00b871aef201f2c5
United States,Zinfandel 2016,593,26.9,4.1,Napa Valley,red,Napa Cellars,2016,60f33d7f00b871aef201f2c6
United States,CrossBarn Cabernet Sauvignon 2016,593,68.32,4.2,Napa Valley,red,Paul Hobbs,2016,60f33d7f00b871aef201f2c7
Spain,Reserva 2012,593,72.6,4.2,Ribera del Duero,red,Viña Pedrosa,2012,60f33d7f00b871aef201f2c8
Italy,Piano Chiuso Riserva Primitivo di Manduria 2015,594,24.89,4.2,Primitivo di Manduria,red,Masca del Tacco,2015,60f33d7f00b871aef201f2c9
France,Saint-Estèphe 2015,594,39.9,3.9,Saint-Estèphe,red,Château de Pez,2015,60f33d7f00b871aef201f2ca
France,Haut-Médoc 2015,594,18.42,3.8,Haut-Médoc,red,Château Cambon La Pelouse,2015,60f33d7f00b871aef201f2cb
