Country,Name,NumberOfRatings,Price,Rating,Region,Tipology,Winery,Year,_id
France,Pomerol 2011,100,95,4.2,Pomerol,red,Château La Providence,2011,60f33d7e00b871aef201d8be
France,Lirac 2017,100,15.5,4.3,Lirac,red,Château Mont-Redon,2017,60f33d7e00b871aef201d8bf
Italy,Erta e China Rosso di Toscana 2015,100,7.45,3.9,Toscana,red,Renzo Masi,2015,60f33d7e00b871aef201d8c0
Italy,Bardolino 2019,100,8.72,3.5,Bardolino,red,Cavalchina,2019,60f33d7e00b871aef201d8c1
Austria,Ried Scheibner Pinot Noir 2016,100,29.15,3.9,Carnuntum,red,Markowitsch,2016,60f33d7e00b871aef201d8c2
France,Gigondas (Nobles Terrasses) 2017,100,19.9,3.7,Gigondas,red,Vieux Clocher,2017,60f33d7e00b871aef201d8c3
New Zealand,"Marion's Vineyard Pinot Noir 2016",100,43.87,4,Wairarapa,red,Schubert,2016,60f33d7e00b871aef201d8c4
Chile,Red Blend 2014,100,17.52,3.9,Itata Valley,red,Viña La Causa,2014,60f33d7e00b871aef201d8c5
Italy,Chianti 2015,100,10.75,3.6,Chianti,red,Castello Montaùto,2015,60f33d7e00b871aef201d8c6
France,Tradition 2014,100,6.9,3.5,Minervois,red,Domaine des Aires Hautes,2014,60f33d7e00b871aef201d8c7
Italy,Chianti Riserva 2013,100,20.95,3.9,Chianti,red,Poggiotondo,2013,60f33d7e00b871aef201d8c8
Australia,Descendant 2016,100,140.64,4.3,Barossa,red,Torbreck,2016,60f33d7e00b871aef201d8c9
France,Les Obriers de la Peira Terrasses du Larzac 2017,100,14.52,4.1,Terrasses du Larzac,red,La Pèira en Damaisèla,2017,60f33d7e00b871aef201d8ca
Italy,Zenas Primitivo 2018,100,9.26,3.6,Puglia,red,La Bollina,2018,60f33d7e00b871aef201d8cb
France,Cuvée Confidence Côtes du Rhône Rouge 2017,100,8.49,3.7,Côtes-du-Rhône,red,Domaine Fond Croze,2017,60f33d7e00b871aef201d8cc
Australia,Shiraz 2018,100,6.5,3.2,South Eastern Australia,red,Barramundi,2018,60f33d7e00b871aef201d8cd
South Africa,"Proprietor's Blend 2016",100,29.09,4.2,Stellenbosch,red,Ernie Els,2016,60f33d7e00b871aef201d8ce
Spain,La Bienquerida 2016,100,41.58,4.3,Bierzo,red,Losada,2016,60f33d7e00b871aef201d8cf
United States,Cabernet Sauvignon 2015,100,7.95,3.8,California,red,Hacienda,2015,60f33d7e00b871aef201d8d0
Italy,Fulgeo Negroamaro Salento 2016,100,12.9,4,Salento,red,San Donaci,2016,60f33d7e00b871aef201d8d1
Portugal,Contraste Tinto 2015,100,9.9,3.4,Douro,red,Conceito,2015,60f33d7e00b871aef201d8d2
Hungary,Steiner 2013,100,24.5,3.7,Sopron,red,Weninger,2013,60f33d7e00b871aef201d8d3
Italy,Old Vines Primitivo 2015,100,38.7,4.2,Puglia,red,Azienda Agricola Morella,2015,60f33d7e00b871aef201d8d4
Brazil,Virtus Tannat 2013,100,6.77,2.9,Serra Gaúcha,red,Monte Paschoal,2013,60f33d7e00b871aef201d8d5
South Africa,Kallista 2015,100,26.25,4.3,Stellenbosch,red,Vriesenhof,2015,60f33d7e00b871aef201d8d6
Italy,Badia a Passignano Gran Selezione Chianti Classico 2016,1000,39.9,4.2,Chianti Classico,red,Antinori,2016,60f33d7e00b871aef201d8d7
France,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2012,1000,174.49,4.4,Saint-Émilion Grand Cru,red,Château Figeac,2012,60f33d7e00b871aef201d8d8
Italy,"Carlo V Il Rosso dell'Imperatore 2013",1000,15.9,3.7,Veneto,red,Colli Vicentini,2013,60f33d7e00b871aef201d8d9
United States,Pinot Noir 2016,1001,15.98,3.6,Monterey,red,District 7,2016,60f33d7e00b871aef201d8da
France,Marquis de Calon Saint-Estèphe 2015,1001,43.28,3.9,Saint-Estèphe,red,Château Calon-Ségur,2015,60f33d7e00b871aef201d8db
Spain,Hécula Monastrell 2017,1004,8.83,3.3,Yecla,red,Castaño,2017,60f33d7e00b871aef201d8dc
Spain,Berola 2015,1006,14.52,3.9,Campo de Borja,red,Borsao,2015,60f33d7e00b871aef201d8dd
France,Saint-Julien (Grand Cru Classé) 2010,1008,189,4.4,Saint-Julien,red,Château Léoville Poyferré,2010,60f33d7e00b871aef201d8de
France,Pinot Noir Bourgogne 2017,1009,15.9,3.7,Bourgogne,red,Faiveley,2017,60f33d7e00b871aef201d8df
Italy,"Vigna del Noce Barbera d'Asti 2007",101,76.9,4.1,"Barbera d'Asti",red,Trinchero,2007,60f33d7e00b871aef201d8e0
Italy,I Tratturi Rosso 2017,101,7.04,3.8,Salento,red,San Marzano,2017,60f33d7e00b871aef201d8e1
France,Château Pilet Bordeaux 2017,101,6.5,3.6,Bordeaux,red,J.Queyrens & Fils,2017,60f33d7e00b871aef201d8e2
France,Sancerre Rouge 2015,101,37.34,4.2,Sancerre,red,Comte Lafond,2015,60f33d7e00b871aef201d8e3
Australia,Shiraz 2016,101,8.67,3.5,McLaren Vale,red,Food Truck,2016,60f33d7e00b871aef201d8e4
France,Ro-Rée Saint-Joseph 2018,101,24.37,4.2,Saint-Joseph,red,Louis Chèze,2018,60f33d7e00b871aef201d8e5
South Africa,Cabernet Sauvignon 2015,101,16.5,4,Stellenbosch,red,Big Flower,2015,60f33d7e00b871aef201d8e6
France,Cuvée Alienor Fronsac 2015,101,16.47,3.7,Fronsac,red,Château Mayne-Vieil,2015,60f33d7e00b871aef201d8e7
Italy,Sabbie di Sopra al Bosco 2014,101,31.96,3.8,Terre del Volturno,red,Nanni Copé,2014,60f33d7e00b871aef201d8e8
Italy,Roma Rosso 2018,101,9.95,4,Lazio,red,Poggio le Volpi,2018,60f33d7e00b871aef201d8e9
Spain,Garnacha de Arrayán 2014,101,21.9,3.7,Castilla y León,red,Arrayán,2014,60f33d7e00b871aef201d8ea
Chile,Cabernet Sauvignon 2018,101,7.6,3.3,Central Valley,red,Valdivieso,2018,60f33d7e00b871aef201d8eb
Portugal,Terrenus Vinhas Velhas Reserva 2013,101,27.95,4.1,Alentejano,red,Rui Reguinga,2013,60f33d7e00b871aef201d8ec
France,Fronsac 2005,101,25.95,3.8,Fronsac,red,Château Villars,2005,60f33d7e00b871aef201d8ed
France,Cuvée Charles de Batz Madiran 2014,101,14.09,3.7,Madiran,red,Domaine Berthoumieu,2014,60f33d7e00b871aef201d8ee
United States,Stony Terrace Cabernet Sauvignon 2016,101,18.03,3.8,Napa Valley,red,Rutherford Wine Company,2016,60f33d7e00b871aef201d8ef
Italy,12 e Mezzo Puglia Primitivo Organic Wine 2016,101,9.4,3.9,Puglia,red,Varvaglione,2016,60f33d7e00b871aef201d8f0
Spain,El Abuelo Selección Edición Limitada 2013,101,10.95,4.2,Almansa,red,Bodegas Piqueras,2013,60f33d7e00b871aef201d8f1
Spain,Sangre de Toro Special Selection 2017,101,8.9,3.6,Catalunya,red,Torres,2017,60f33d7e00b871aef201d8f2
France,Château Paul Mas Coteaux du Languedoc Clos des Mures 2018,101,11.05,3.8,Languedoc,red,Paul Mas,2018,60f33d7e00b871aef201d8f3
France,Merlot 2018,101,5.36,3.6,"Pays d'Oc",red,Les Jamelles,2018,60f33d7e00b871aef201d8f4
Italy,"Roscaleto Barbera d'Alba 2015",101,31.18,3.9,"Barbera d'Alba",red,Enzo Boglietti,2015,60f33d7e00b871aef201d8f5
Italy,Barolo Cannubi 2014,101,39.9,4,Barolo,red,Giacomo Fenocchio,2014,60f33d7e00b871aef201d8f6
France,Pauillac (Premier Grand Cru Classé) 2017,101,633.62,4.6,Pauillac,red,Château Mouton Rothschild,2017,60f33d7e00b871aef201d8f7
United States,Cabernet Sauvignon 2014,101,8.29,3.3,Washington,red,Stimson Estate Cellars,2014,60f33d7e00b871aef201d8f8
France,Côte-Rôtie Le Gallet Blanc 2017,101,48,4.4,Côte-Rôtie,red,Francois Villard,2017,60f33d7e00b871aef201d8f9
Italy,Capatosta 2015,101,19.9,3.8,Toscana,red,Poggio Argentiera,2015,60f33d7e00b871aef201d8fa
France,Constance Madiran 2015,101,9.5,3.8,Madiran,red,Domaine Berthoumieu,2015,60f33d7e00b871aef201d8fb
Argentina,Oak Cask Malbec 2019,1010,7.36,3.7,Mendoza,red,Trapiche,2019,60f33d7e00b871aef201d8fc
Argentina,Amancaya Malbec - Cabernet Sauvignon 2017,1010,16.8,4,Mendoza,red,Caro (Catena and Rothschild),2017,60f33d7e00b871aef201d8fd
Italy,Laccento Ruché di Castagnole Monferrato 2017,1012,19.9,4,Ruchè,red,Montalbera,2017,60f33d7e00b871aef201d8fe
Italy,San Leonardo 2011,1012,48.64,4.3,Vigneti delle Dolomiti,red,San Leonardo,2011,60f33d7e00b871aef201d8ff
Brazil,Fausto Tannat 2015,1012,11.35,3.6,Serra Gaúcha,red,Pizzato,2015,60f33d7e00b871aef201d900
France,Pauillac (Grand Cru Classé) 2007,1014,119,4.4,Pauillac,red,Château Pichon Baron,2007,60f33d7e00b871aef201d901
United States,Disciples 2016,1014,53.61,4.3,Napa Valley,red,The Crane Assembly,2016,60f33d7e00b871aef201d902
United States,Zinfandel 2015,1015,16.75,3.6,Mendocino County,red,Bonterra,2015,60f33d7e00b871aef201d903
France,Margaux 2010,1016,40.95,4,Margaux,red,Château Labégorce,2010,60f33d7e00b871aef201d904
Italy,"La Luna e i Falò Barbera d'Asti Superiore 2015",1016,11.49,3.8,"Barbera d'Asti",red,Vite Colte,2015,60f33d7e00b871aef201d905
Spain,Ribera del Duero 2015,1017,38.8,4.2,Ribera del Duero,red,Garmón,2015,60f33d7e00b871aef201d906
France,Les Jardins Rouge 2018,102,7.95,3.8,Faugères,red,Saint Antonin,2018,60f33d7e00b871aef201d907
Italy,"Nero d'Avola - Syrah 2018",102,4.75,3.7,Terre Siciliane,red,Roccaperciata,2018,60f33d7e00b871aef201d908
Spain,La Bienquerida 2013,102,35.97,4.1,Bierzo,red,Losada,2013,60f33d7e00b871aef201d909
Italy,Bonera 2018,102,9.5,3.7,Terre Siciliane,red,Mandrarossa,2018,60f33d7e00b871aef201d90a
Italy,Noi 4 Bolgheri 2016,102,23.5,4,Bolgheri,red,Tenuta dei Sette Cieli,2016,60f33d7e00b871aef201d90b
New Zealand,Pinot Noir 2016,102,27.78,3.9,Marlborough,red,Clos Henri Vineyard,2016,60f33d7e00b871aef201d90c
France,Saint-Émilion Grand Cru 2005,102,39.95,3.9,Saint-Émilion Grand Cru,red,Château Grand Barrail Lamarzelle Figeac,2005,60f33d7e00b871aef201d90d
Spain,Gran Selección Tempranillo 2017,102,6.75,3.4,Castilla,red,Viña San Juan,2017,60f33d7e00b871aef201d90e
South Africa,Syrah 2017,102,18.25,3.9,Paarl,red,Glen Carlou,2017,60f33d7e00b871aef201d90f
Austria,Zweigelt 2017,102,10.6,3.9,Burgenland,red,Judith Beck,2017,60f33d7e00b871aef201d910
France,Saint-Émilion Grand Cru 2015,102,23.09,4.1,Saint-Émilion Grand Cru,red,Château Vieux Clos St. Emilion,2015,60f33d7e00b871aef201d911
Spain,Listán Negro 2017,102,17.95,3.6,Lanzarote,red,Bermejo,2017,60f33d7e00b871aef201d912
Romania,Viile Metamorfosis Merlot 2015,102,7.5,3.5,Dealu Mare,red,Vitis Metamorfosis,2015,60f33d7e00b871aef201d913
South Africa,Merlot - Cabernet Sauvignon - Petit Verdot 2014,102,12.48,3.9,Walker Bay,red,Creation,2014,60f33d7e00b871aef201d914
Australia,RWT Shiraz 2017,102,229,4.4,Barossa Valley,red,Penfolds,2017,60f33d7e00b871aef201d915
France,Fronton 2018,102,6.95,3.5,Fronton,red,Château Bellevue La Forét,2018,60f33d7e00b871aef201d916
Spain,Costers Del Gravet Montsant 2013,102,13.95,3.7,Montsant,red,Capçanes,2013,60f33d7e00b871aef201d917
Italy,Merlot 2018,102,7.9,3.4,Terre Siciliane,red,Cusumano,2018,60f33d7e00b871aef201d918
Austria,Pinot Noir 2015,102,33.05,3.7,Burgenland,red,Paul Achs,2015,60f33d7e00b871aef201d919
France,"Coume de l'Olla Rouge 2019",102,16.96,4.1,Vin de France,red,Matassa,2019,60f33d7e00b871aef201d91a
Germany,Schwarzer 2017,102,13.15,3.6,Pfalz,red,Weingut Metzger,2017,60f33d7e00b871aef201d91b
France,Haut-Médoc 2015,1020,17.36,3.8,Haut-Médoc,red,Château Beaumont,2015,60f33d7e00b871aef201d91c
France,Bourgogne Pinot Noir (La Vignée) 2015,1020,17.59,3.6,Bourgogne,red,Bouchard Père & Fils,2015,60f33d7e00b871aef201d91d
South Africa,Pinot Noir 2017,1022,49.09,4.2,Hemel-en-Aarde Valley,red,Hamilton Russell Vineyards,2017,60f33d7e00b871aef201d91e
United States,Zinfandel 2016,1023,10.9,3.7,California,red,Geyser Peak,2016,60f33d7e00b871aef201d91f
Italy,Valpolicella Ripasso Classico Superiore 2017,1024,15.5,3.7,Valpolicella Ripasso Classico,red,Bolla,2017,60f33d7e00b871aef201d920
Italy,Rosso di Montalcino 2015,1025,26.5,3.9,Rosso di Montalcino,red,Castiglion del Bosco,2015,60f33d7e00b871aef201d921
Portugal,Ripanço Private Selection Alentejano 2016,1026,8.6,3.7,Alentejano,red,José Maria da Fonseca,2016,60f33d7e00b871aef201d922
Italy,Riserva Cannonau di Sardegna 2017,1027,10.66,3.8,Cannonau di Sardegna,red,Sella & Mosca,2017,60f33d7e00b871aef201d923
Italy,60 Sessantanni Old Vines Primitivo di Manduria 2016,1028,17.24,4.4,Primitivo di Manduria,red,San Marzano,2016,60f33d7e00b871aef201d924
United States,Kith & Kin Cabernet Sauvignon 2017,1028,38.5,4.2,Napa Valley,red,Round Pond Estate,2017,60f33d7e00b871aef201d925
United States,Zinfandel 2017,1029,34.12,4.3,California,red,Rombauer Vineyards,2017,60f33d7e00b871aef201d926
Spain,Cerro Añon Rioja Gran Reserva 2011,103,14.65,4.1,Rioja,red,Bodegas Olarra,2011,60f33d7e00b871aef201d927
Australia,Bush Vine GSM (Shiraz - Grenache - Mourvedre) 2013,103,14.57,4,McLaren Vale,red,Geoff Merrill,2013,60f33d7e00b871aef201d928
Spain,Plaer Vinyes Velles 2016,103,26.18,4.1,Priorat,red,Acustic Celler,2016,60f33d7e00b871aef201d929
Spain,Cabernet - Shiraz 2016,103,3.95,3.4,La Mancha,red,Añoranza,2016,60f33d7e00b871aef201d92a
France,Saint-Émilion Grand Cru 2014,103,26.9,3.9,Saint-Émilion Grand Cru,red,Château La Confession,2014,60f33d7e00b871aef201d92b
France,Comte de Sénéjac Haut-Médoc 2011,103,16.83,3.7,Haut-Médoc,red,Château Sénéjac,2011,60f33d7e00b871aef201d92c
Italy,Gran Masetto Teroldego 2014,103,39.9,4.4,Trentino,red,Endrizzi,2014,60f33d7e00b871aef201d92d
Italy,Barolo Mariondino 2015,103,39.9,4.1,Barolo,red,Parusso,2015,60f33d7e00b871aef201d92e
Spain,Crianza 2016,103,9.9,3.6,Rioja,red,Berceo,2016,60f33d7e00b871aef201d92f
United States,Apogee Pepper Bridge Vineyard 2013,103,46.9,4.1,Walla Walla Valley,red,"L'Ecole No 41",2013,60f33d7e00b871aef201d930
Spain,Gamma Red Blend 2018,103,6.15,3.4,Navarra,red,Bodegas Piedemonte,2018,60f33d7e00b871aef201d931
France,Peyres Nobles Rouge 2018,103,6.5,4,Corbières,red,Château Camplong,2018,60f33d7e00b871aef201d932
Italy,Lemartine Toscana 2015,103,29.67,4.1,Toscana,red,Poggio Antico,2015,60f33d7e00b871aef201d933
Australia,Organic Cabernet 2018,103,7.79,3.7,South Australia,red,Farm Hand,2018,60f33d7e00b871aef201d934
France,Pomerol 1999,103,240,4.1,Pomerol,red,Château Nénin,1999,60f33d7e00b871aef201d935
Germany,Malterdinger Alte Reben Spätburgunder 2016,103,38.69,4.1,Baden,red,Bernhard Huber,2016,60f33d7e00b871aef201d936
South Africa,Cabernet Franc 2012,103,59.95,4.2,Franschhoek,red,Anthonij Rupert,2012,60f33d7e00b871aef201d937
France,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2002,103,193.02,4.4,Saint-Émilion Grand Cru,red,Château Valandraud,2002,60f33d7e00b871aef201d938
Argentina,Bramare Rebon Vineyard Malbec 2017,103,75.07,4.6,Mendoza,red,Viña Cobos,2017,60f33d7e00b871aef201d939
Brazil,Merlot Reserva 2008,103,15.9,3.2,Vale dos Vinhedos,red,Pizzato,2008,60f33d7e00b871aef201d93a
Italy,Brunello di Montalcino Pianrosso 2015,103,66.29,4.4,Brunello di Montalcino,red,"Ciacci Piccolomini d'Aragona",2015,60f33d7e00b871aef201d93b
France,François de Tournon Saint-Joseph 2016,103,29.15,3.9,Saint-Joseph,red,Delas,2016,60f33d7e00b871aef201d93c
France,Estibals Minervois 2018,103,10.99,3.6,Minervois,red,"L'Ostal Cazes",2018,60f33d7e00b871aef201d93d
Chile,Barbera - Garnacha 2017,103,12.62,3.5,Maule Valley,red,Erasmo,2017,60f33d7e00b871aef201d93e
France,Roi des Lézards 2014,103,19.4,3.9,Côtes Catalanes,red,Domaine Les Enfants Sauvages,2014,60f33d7e00b871aef201d93f
United States,One Point Five Cabernet Sauvignon 2016,1030,120.01,4.5,Stags Leap District,red,Shafer,2016,60f33d7e00b871aef201d940
Italy,Barbaresco 2013,1030,199.9,4.4,Barbaresco,red,Gaja,2013,60f33d7e00b871aef201d941
France,Saint-Julien (Grand Cru Classé) 2006,1030,59.54,3.9,Saint-Julien,red,Château Branaire-Ducru,2006,60f33d7e00b871aef201d942
France,Médoc 2012,1033,39.69,3.8,Médoc,red,Château Potensac,2012,60f33d7e00b871aef201d943
Italy,Pieve Santa Restituta Brunello di Montalcino 2014,1035,59.9,4.3,Brunello di Montalcino,red,Gaja,2014,60f33d7e00b871aef201d944
Italy,Gran Maestro Primitivo di Manduria 2017,1036,9.75,4.1,Primitivo di Manduria,red,Maestro Italiano,2017,60f33d7e00b871aef201d945
France,Saint-Julien (Grand Cru Classé) 2011,1037,87.24,4.2,Saint-Julien,red,Château Léoville Barton,2011,60f33d7e00b871aef201d946
United States,Inferno (Aged in Whiskey Barrels - Limited Release) 2017,1037,14.56,3.8,California,red,Apothic,2017,60f33d7e00b871aef201d947
France,Pessac-Léognan (Grand Cru Classé de Graves) 2007,1037,161.1,4.3,Pessac-Léognan,red,Château Pape Clément,2007,60f33d7e00b871aef201d948
South Africa,Faithful Hound Red 2015,1038,14.9,4,Stellenbosch,red,Mulderbosch,2015,60f33d7e00b871aef201d949
Italy,Serego Alighieri Vaio Armaron Amarone della Valpolicella Classico 2012,1039,69,4.3,Amarone della Valpolicella,red,Masi,2012,60f33d7e00b871aef201d94a
Italy,Rosso di Montalcino 2018,104,14.43,3.7,Rosso di Montalcino,red,Talenti,2018,60f33d7e00b871aef201d94b
Italy,Chianti 2017,104,8.9,3.7,Chianti,red,Sammontana,2017,60f33d7e00b871aef201d94c
Spain,Azul 2015,104,6.99,3.8,Ribera del Queiles,red,Guelbenzu,2015,60f33d7e00b871aef201d94d
Italy,Sanct Valentin Riserva Pinot Noir 2017,104,33.2,4.1,Südtirol - Alto Adige,red,St. Michael-Eppan,2017,60f33d7e00b871aef201d94e
Spain,Mas Collet Barrica 2009,104,21.91,3.5,Montsant,red,Capçanes,2009,60f33d7e00b871aef201d94f
Italy,Valpolicella Ripasso Classico Superiore 2016,104,16.9,4,Valpolicella Ripasso Classico,red,Paolo Cottini,2016,60f33d7e00b871aef201d950
Italy,Toscana Poggio Ai Merli 2016,104,69,4.3,Toscana,red,Castellare,2016,60f33d7e00b871aef201d951
Spain,Viña Aljibes Red Blend 2016,104,8.2,3.4,Castilla,red,Finca Los Aljibes,2016,60f33d7e00b871aef201d952
France,Châteauneuf-du-Pape (La Crau) 2017,104,79.95,4.4,Châteauneuf-du-Pape,red,Domaine du Vieux Télégraphe,2017,60f33d7e00b871aef201d953
France,"Châteauneuf-Du-Pape La Paillousse Terroir D'Exception Rouge 2015",104,26.23,4,Châteauneuf-du-Pape,red,Pierre Amadieu,2015,60f33d7e00b871aef201d954
Spain,Mencia 2015,104,8.28,3.2,Valdeorras,red,Viña Costeira,2015,60f33d7e00b871aef201d955
France,Santenay Clos de Malte 2016,104,32,4.1,Santenay,red,Louis Jadot,2016,60f33d7e00b871aef201d956
Italy,Sudisfà Roero Riserva 2015,104,29.9,4.1,Roero,red,Negro Angelo,2015,60f33d7e00b871aef201d957
France,Léa Les Aspres Côtes du Roussillon Rouge 2012,104,19.95,4,Côtes du Roussillon,red,Domaine Lafage,2012,60f33d7e00b871aef201d958
Italy,Alleanza 2012,104,26.95,4.1,Toscana,red,Castello di Gabbiano,2012,60f33d7e00b871aef201d959
Italy,Valpolicella Ripasso Classico Superiore Solane 2015,1040,14.75,3.7,Valpolicella Ripasso,red,Santi,2015,60f33d7e00b871aef201d95a
Spain,Crianza 2015,1040,11.95,3.8,Binissalem-Mallorca,red,Bodegas José L. Ferrer,2015,60f33d7e00b871aef201d95b
Portugal,Courela Tinto 2016,1040,5.65,3.6,Alentejano,red,Cortes de Cima,2016,60f33d7e00b871aef201d95c
Italy,"Barbera d'Alba Tre Vigne 2015",1040,19.5,3.8,"Barbera d'Alba",red,Vietti,2015,60f33d7e00b871aef201d95d
Italy,No Name 2014,1041,34.32,4,Piemonte,red,Borgogno,2014,60f33d7e00b871aef201d95e
Spain,Rioja Bordón Reserva 2011,1045,10.85,3.8,Rioja,red,Franco-Espanolas,2011,60f33d7e00b871aef201d95f
Italy,Pian delle Vigne Brunello di Montalcino 2014,1046,45.6,4.3,Brunello di Montalcino,red,Antinori,2014,60f33d7e00b871aef201d960
Spain,Almiréz 2016,1046,14.95,4,Toro,red,Teso La Monja,2016,60f33d7e00b871aef201d961
Portugal,Colheita Seleccionada Rouge 2010,1046,11.7,3.2,Alentejano,red,Rapariga da Quinta,2010,60f33d7e00b871aef201d962
Italy,Ammasso Rosso Sicilia 2016,1047,16.34,4.2,Sicilia,red,Barone Montalto,2016,60f33d7e00b871aef201d963
France,Côtes du Rhône Nature Rouge 2016,1049,10.45,3.6,Côtes-du-Rhône,red,Famille Perrin,2016,60f33d7e00b871aef201d964
United States,Russian River Valley Zinfandel 2015,105,18.49,3.5,Russian River Valley,red,DeLoach,2015,60f33d7e00b871aef201d965
France,Saint-Julien (Grand Cru Classé) 2016,105,330.45,4.6,Saint-Julien,red,Château Léoville Las Cases,2016,60f33d7e00b871aef201d966
Greece,Halkidiki Limnio - Merlot 2013,105,12.49,3.2,Chalkidiki,red,Tsantali,2013,60f33d7e00b871aef201d967
France,Pomerol 2015,105,43.16,4.2,Pomerol,red,"Château l'Ecuyer",2015,60f33d7e00b871aef201d968
Italy,Toar Valpolicella Classico Superiore 2016,105,15.6,3.7,Valpolicella Classico,red,Masi,2016,60f33d7e00b871aef201d969
Italy,Arbòre Cannonau di Sardegna 2012,105,21.9,4,Cannonau di Sardegna,red,Gabbas,2012,60f33d7e00b871aef201d96a
Spain,Ángeles de Amaren Tempranillo - Graciano 2015,105,15.95,4.2,Rioja,red,Bodegas Amaren,2015,60f33d7e00b871aef201d96b
Italy,Barbera 2018,105,6.15,3.3,Piemonte,red,Serre dei Roveri,2018,60f33d7e00b871aef201d96c
Italy,Amarone della Valpolicella 2006,105,96.9,4.5,Amarone della Valpolicella,red,Zýmē,2006,60f33d7e00b871aef201d96d
Spain,Castillo de Jumilla Monastrell - Tempranillo 2018,105,5.33,3.5,Jumilla,red,Bleda,2018,60f33d7e00b871aef201d96e
France,Hommage Lirac 2016,105,19.01,3.9,Lirac,red,Domaine Coudoulis,2016,60f33d7e00b871aef201d96f
Italy,"Poggio d'Arna Toscana 2014",105,12.9,3.6,Toscana,red,Tenuta di Sesta,2014,60f33d7e00b871aef201d970
Spain,Vinya Le Havre Reserva Cabernet Sauvignon 2013,105,25.75,4,Penedès,red,Jean Leon,2013,60f33d7e00b871aef201d971
Italy,Brunello di Montalcino 2014,105,32.75,3.8,Brunello di Montalcino,red,Tenute Silvio Nardi,2014,60f33d7e00b871aef201d972
Italy,Sor Ugo Bolgheri Superiore 2017,105,23.94,4.3,Bolgheri Superiore,red,Aia Vecchia,2017,60f33d7e00b871aef201d973
Spain,Ses Nines Negre 2018,105,11.25,3.8,Binissalem-Mallorca,red,Tianna Negre,2018,60f33d7e00b871aef201d974
Austria,Terrassen Zweigelt Blauer 2018,105,9.95,3.7,Wachau,red,Domäne Wachau,2018,60f33d7e00b871aef201d975
Italy,Rosso di Montalcino 2018,105,16.47,4.1,Rosso di Montalcino,red,"Ciacci Piccolomini d'Aragona",2018,60f33d7e00b871aef201d976
United States,Riva Ranch Pinot Noir (Reliz Creek) 2017,105,24.15,3.9,Arroyo Seco,red,Wente,2017,60f33d7e00b871aef201d977
Spain,Altos R Tempranillo 2017,105,6.9,3.4,Rioja,red,Altos de Rioja,2017,60f33d7e00b871aef201d978
Italy,Amarone della Valpolicella Classico 2016,105,43.61,4.2,Amarone della Valpolicella Classico,red,Zenato,2016,60f33d7e00b871aef201d979
Italy,Potenti Toscana (Suvereto) 2015,105,39.58,3.9,Toscana,red,Petra,2015,60f33d7e00b871aef201d97a
Italy,Trentatre 33 Rosso 2017,105,6.95,3.6,Salento,red,Rocca,2017,60f33d7e00b871aef201d97b
Italy,Pievasciata Rosso 2016,105,14.9,4.1,Toscana,red,Vallepicciola,2016,60f33d7e00b871aef201d97c
Italy,Brunello di Montalcino 2013,1050,35.5,3.9,Brunello di Montalcino,red,Tenute Silvio Nardi,2013,60f33d7e00b871aef201d97d
Australia,The Barossan Shiraz 2017,1051,16.48,3.8,Barossa Valley,red,Peter Lehmann,2017,60f33d7e00b871aef201d97e
Italy,"Nero d'Avola 2017",1055,8.68,3.8,Terre Siciliane,red,Colosi,2017,60f33d7e00b871aef201d97f
France,Bordeaux 2015,1056,10.21,3.5,Bordeaux,red,Jean-Pierre Moueix,2015,60f33d7e00b871aef201d980
United States,Cabernet Sauvignon 2018,1056,8.95,3.4,California,red,Woodbridge by Robert Mondavi,2018,60f33d7e00b871aef201d981
Portugal,Tinto 2018,1056,9.12,3.7,Lisboa,red,Porta 6,2018,60f33d7e00b871aef201d982
South Africa,Délicate N.V.,1056,14.38,4.1,Stellenbosch,red,De Toren,NaN,60f33d7e00b871aef201d983
Italy,Aglianico Rubrato 2014,1057,10.95,3.5,Irpinia,red,Feudi di San Gregorio,2014,60f33d7e00b871aef201d984
Chile,Gran Verano Cabernet Sauvignon 2018,1059,6.95,3.4,Central Valley,red,Apaltagua,2018,60f33d7e00b871aef201d985
United States,Grand Estates Merlot 2015,1059,12.4,3.7,Columbia Valley,red,Columbia Crest,2015,60f33d7e00b871aef201d986
France,Saint-Julien (Grand Cru Classé) 2017,106,86.76,4,Saint-Julien,red,Château Beychevelle,2017,60f33d7e00b871aef201d987
France,Copa Santa La Méjanelle 2015,106,17.9,4,Languedoc,red,Clavel,2015,60f33d7e00b871aef201d988
Italy,Cantodoro 2016,106,8.5,3.6,Sicilia,red,Feudo Arancio,2016,60f33d7e00b871aef201d989
Italy,Vitiano San Lorenzo 2014,106,11.95,3.9,Castel San Lorenzo,red,Falesco,2014,60f33d7e00b871aef201d98a
Italy,"Disueri Nero d'Avola 2018",106,7.7,3.6,Sicilia,red,Cusumano,2018,60f33d7e00b871aef201d98b
Germany,Kirschgarten Spatburgunder GG 2013,106,39.95,4.2,Pfalz,red,Knipser,2013,60f33d7e00b871aef201d98c
Spain,B 2017,106,11.21,3.8,Ribera del Duero,red,Baden Numen,2017,60f33d7e00b871aef201d98d
Italy,Pinot Noir 2017,106,22.5,4,"Valle d'Aosta",red,Ottin - Viticulteur Encaveur,2017,60f33d7e00b871aef201d98e
